Carimbo de data/hora,Eixo temático,Título do trabalho,Resumo,Palavra-chave 1,Palavra-chave 2,Palavra-chave 3,Palavra-chave 4,Palavra-chave 5
17/03/2023 22:53:33,Eixo Temático 1 - O Estudante e/ou sua Aprendizagem no contexto das TDIC,NADA SERÁ COMO ANTES: A REINVENÇÃO DO ENSINO SUPERIOR NA “ERA DA VIRTUALIDADE” – APONTAMENTOS A PARTIR DE CONSTATAÇÕES EMPÍRICAS,"No mundo contemporâneo, não faz mais sentido opor ensino “presencial” ao “remoto”. A pandemia de covid-19 precipitou o que já vinha se verificando desde meados dos anos 1990: a virtualização das relações pessoais e de aprendizagem. Essa virtualização do ensino, entretanto, faz sentido somente se ela superar os vícios da educação presencial, que se limita a “transmitir” conteúdos e cobrá-los em “provas” (ou exames). Uma nova universidade, atualizada com a tecnologia da informação, exige um(a) novo(a) professor(a), apto(a) a ensinar a aprender – e não a apenas reproduzir conteúdos prontos e impensados. As condições objetivas para que o “ensino híbrido” aconteça estão dadas, conforme verificamos em pesquisa empírica realizada no segundo semestre de 2020 na Universidade Federal Fluminense. Defendemos, neste artigo, o apagamento da fronteira entre presencial e virtual, propondo uma universidade inventiva, criativa, intelectualmente estimulante, que faça tanto o(a) professor(a) quanto o(a) aluno(a) protagonistas do conhecimento. Anteriormente à adesão apressada às inovações tecnológicas, portanto, é preciso decidir que universidade queremos, antes que essa decisão seja tomada por quem não estima a autonomia dela.",universidade,virtualidade,ensino,tecnologia,ND
17/03/2023 22:55:21,Eixo Temático 1 - O Estudante e/ou sua Aprendizagem no contexto das TDIC,OBJETO DE LEITURA GAMIFICADO PARA ALUNOS DO 6º ANO DO ENSINO FUNDAMENTAL,"Este estudo, de natureza qualitativa, apresenta um recorte de uma pesquisa de iniciação científica conduzida em um processo metodológico de estudo de caso que envolveu desenvolvimento e testagem de um objeto de leitura gamificado. Ampara-se teoricamente em estudos sobre gamificação (BUSARELLO, 20016; KAPP, 2013), leitura (KLEIMAN, 2008; KOCH; ELIAS, 2011) e objetos digitais de aprendizagem (WILEY, 2010) Nessa investigação, estabeleceu-se como principal objetivo desenvolver, testar e avaliar objeto digital de leitura gamificado com recurso ao powerpoint como ferramenta de aprendizagem de leitura. Após o processo de concepção, desenho e criação, o objeto foi testado com alunos do 6º ano de uma escola estadual do município de Belém-Pará, com suporte da docente de língua portuguesa. Em todo o processo de investigação foram usados instrumentos para registro de dados, como diário de campo, fichas de validação e, para testagem, gravação em vídeo e avaliação por meio de questionário baseado em escala. Como principais resultados apresentados neste trabalho, destacamos a identificação de tipos de dificuldades (como hesitação, pausas entre palavras, dentre outras) que promovem problemas na fluência e na compreensão leitora.

",Gamificação,Objeto de leitura gamificado,Aprendizagem de leitura,ND,ND
17/03/2023 22:56:35,Eixo Temático 1 - O Estudante e/ou sua Aprendizagem no contexto das TDIC,O ENSINO HÍBRIDO NO ENSINO DE BIOLOGIA: DEMANDAS E PROPOSTAS NO SÉCULO XXI -BREVE REVISÃO BIBLIOGRÁFICA,"O ensino tradicional há muitos anos tem sido o principal método de ensino nas escolas. Os problemas decorrentes desse método são incapazes de suprir as demandas carregadas pela escola na formação do alunado. Além disso, as dificuldades que os professores de biologia encontram em sala de aula somam-se aos problemas da utilização de aulas expositivas, que não trazem os estudantes ao centro do processo de aprendizagem. Para buscar transcender aos problemas levantados, este trabalho propõe a utilização das metodologias ativas que focam na implementação do ensino híbrido. Os pilares da educação e as competências do professor para o século XXI são apresentados como pontos a serem atingidos para a garantia da qualidade da educação por meio da utilização das metodologias ativas, que tem como definição métodos colocam o estudante como protagonista, ativo e crítico em seu aprendizado. Quanto ao ensino híbrido, pode-se mencionar como um dos principais benefícios a personalização do ensino, tornando possível que os estudantes alcancem seus objetivos através de diferentes caminhos. Não obstante, essa metodologia ativa foi impulsionada devido às situações vividas com a pandemia do COVID-19. Foram encontrados trabalhos com ferramentas que podem ser úteis na aplicação do ensino híbrido em sala de aula, dentre elas aplicações digitais, instrução por pares juntamente com ensino sob medida. Esses são meios pelos
quais o professor de biologia pode abordar suas aulas.",Ensino híbrido,Metodologias ativas,Ensino de Biologia,ND,ND
17/03/2023 22:58:20,Eixo Temático 1 - O Estudante e/ou sua Aprendizagem no contexto das TDIC,O ENSINO REMOTO EMERGENCIAL NO COLÉGIO DE APLICAÇÃO DA UNIVERSIDADE FEDERAL DE RORAIMA-DESAFIOS DA EDUCAÇÃO BÁSICA,"A implementação do Ensino Remoto Emergencial no âmbito do Colégio de Aplicação, que faz parte da Universidade Federal de Roraima, foi a alternativa encontrada institucionalmente para cumprir o que determinou o Governo Federal durante o período de março de 2020 a março de 2022. Este trabalho trata-se de um relato de experiência dos docentes de Educação Física que atuaram na Educação Básica, desde os Anos Iniciais do Ensino Fundamental até as séries do Ensino Médio. O foco deste relato são os desafios encontrados durante a pandemia de COVID-19 e as formas encontradas para transpô-los, com o objetivo de evidenciar os diferentes processos superados pelos estudantes durante o distanciamento social. Com uma abordagem qualitativa, por meio da análise documental e bibliográfica do recorte temporal supracitado, os professores oferecem à comunidade acadêmica sua percepção sobre o impacto no processo de construção de conhecimento por parte dos discentes. Para contextualização das TDICs, utilizou-se Matta, Furlani e Santos (2019). Nesse período, o uso das Tecnologias Digitais de Informação e Comunicação foram essenciais para garantir o acesso de todos os estudantes ao ensino ofertado pelo Colégio.",TDICs,Colégio de Aplicação,Ensino Remoto Emergencial,Pandemia,ND
17/03/2023 23:00:28,Eixo Temático 1 - O Estudante e/ou sua Aprendizagem no contexto das TDIC,O PROFESSOR DE MATEMÁTICA E O ESTUDO DE FRAÇÃO: ENTENDENDO A EQUIVALÊNCIA PARA SOMAR E SUBTRAIR,"O Trabalho propõe o ensino de frações em uma aula experimental desenvolvida no doutorado, na disciplina de Tecnologias de Informação e Comunicação no Ensino de Ciências e Matemática da Universidade Franciscana de Santa Maria - RS - utilizando como estratégia a Resolução de Problemas, através do uso das tecnologias. O objetivo foi sugerir maneiras pelas quais os professores de matemática possam introduzir a problemática da equivalência de frações, facilitando as operações de soma e subtração com denominadores diferentes, além da análise das estratégias de ensino através do uso de tecnologias, estimulando a capacidade de compreensão e justificando a aplicação da aprendizagem no processo de ensino na resolução de problemas. Sendo importante o papel do professor como mediador/orientador no processo de ensino, para a apresentação e discussão das estratégias utilizadas pelos estudantes. A metodologia utilizada foi a de Abordagem Baseada na Resolução de Problemas. Partiu-se dos pré-requisitos que os estudantes tinham conhecimento básicos para adicionar e subtrair frações com denominadores diferentes. O estudo contém a descrição da aplicação experimental da proposta realizada no 6a ano da Educação Básica da rede pública estadual da cidade de Cachoeira do Sul - RS nos 1o e 2o semestre de 2021, onde apresentamos algumas considerações do trabalho desenvolvido na pandemia de Covid-19 de forma híbrida, sendo imprescindível o uso das tecnologias na realização da proposta.

",fração  equivalente,tecnologias,ensino híbrido,aprendizagem,resolução  de problemas
17/03/2023 23:01:30,Eixo Temático 1 - O Estudante e/ou sua Aprendizagem no contexto das TDIC,ORIENTAÇÃO EDUCACIONAL: REINVENÇÃO EM TEMPOS DE PANDEMIA,"Este trabalho trata-se de um Estudo de Caso (YIN, 2015) realizado com 24 orientadores educacionais (OE) que atuam na Educação Básica no estado do Rio Grande do Sul. O objetivo desta pesquisa foi investigar como a Orientação Educacional (OE), um importante setor de apoio nas escolas, vem se constituindo ao longo das décadas, enfatizando o ano de 2020, marcado pela pandemia do Covid-19. Nesse período, houve a necessidade de mudanças rápidas no âmbito da educação, devido ao fechamento das escolas. Com esse quadro, as escolas precisaram se modificar e, inclusive os OE. Esse ponto nos conduz ao problema de pesquisa que é verificar como os OE se reinventaram nesse período de pandemia para a continuidade de suas práticas. Para tanto, utilizou-se como instrumento de pesquisa um questionário online, disponibilizado através do Google Forms. Os dados foram analisados a luz da Análise de Conteúdos de Bardin (2011). Como resultados destaca-se a importância do trabalho do OE junto aos estudantes, professores e equipe diretiva, bem como, a importância do uso das tecnologias durante esse período, assim como suas contribuições após a abertura das instituições escolares.

",Orientador Educacional,Tecnologias,Covid-19,ND,ND
17/03/2023 23:02:27,Eixo Temático 1 - O Estudante e/ou sua Aprendizagem no contexto das TDIC,ORIENTADOR EDUCACIONAL: ALTERNATIVAS EM TEMPOS DE PANDEMIA,"Esta pesquisa objetivou investigar as práticas dos Orientadores Educacionais no período da pandemia do Covid-19. A pandemia exigiu reformulações de todos os contextos, inclusive da educação, e os profissionais precisaram modificar a forma com que vinham atuando até então. Um dos pontos que se observou foi a incorporação do uso das tecnologias para a continuidade dos processos de ensino e aprendizagem e a manutenção de vínculos, busca ativa, apoio socioemocional, entre outras. Para tanto, o papel do OE se fez primordial frente ao novo contexto e precisou adequar as suas práticas ao mundo online. A metodologia adotada foi o Estudo de Caso (YIN, 2011), no qual foi investigado um universo de 19 de Trabalhos de Conclusão de Curso de especialização em Orientação Educacional que analisaram diversas práticas de orientadores em tempos de pandemia. Os resultados apontam o trabalho do Orientador Educacional como um elemento integrador dentro e fora dos muros escolares, atento às novas demandas e agindo como promotor de modificações de acordo com o contexto vivenciado, tendo incorporado as tecnologias às suas práticas.",Orientação Educacional,Tecnologias,Pandemia,ND,ND
17/03/2023 23:04:34,Eixo Temático 1 - O Estudante e/ou sua Aprendizagem no contexto das TDIC,O DESAFIO DA EDUCAÇÃO DIGITAL NO CONTEXTO PANDÊMICO: RELATOS DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA,"A pandemia pelo novo coronavírus provocou um cenário inédito de isolamento social, que deu origem à mudança para o ensino remoto os docentes precisaram atualizar o conhecimento nas ferramentas tecnológicas, e muitas vezes encontram dificuldades na transição inesperada do ensino presencial para o ensino remoto, que baseia-se no uso de tecnologias desde a preparação da disciplina até o contato com os alunos. Assim, este trabalho tem como objetivo levantar as possibilidades e limitações da inserção de tecnologias remotas na realidade dos cursos presenciais da Universid método de pesquisa, utilizou suporte teórico para o entendimento pandêmico. Ainda, utilizamos uma pesquisa qualitativa meio do qual conseguimos verificar que as TIC’s foram fundamentais para o processo de implementação do ensino remoto, onde se destacaram as dificuldades em estratégias de ensino digital e elaboração de ativida opinião dos docentes.",Educação Digital,Tecnologia,Pandemia,Ensino Remoto;,EAD
17/03/2023 23:06:06,Eixo Temático 1 - O Estudante e/ou sua Aprendizagem no contexto das TDIC,OS DESAFIOS DA ESCOLA PARA A PROMOÇÃO DA INCLUSÃO DIGITAL: UMA BREVE REVISÃO DE LITERATURA,"Este ensaio teórico tem como objetivo trazer reflexões sobre os desafios da educação para a promoção da inclusão digital, estabelecendo relações entre avanços tecnológicos, educação e inclusão. Iniciaremos com uma breve reflexão sobre o avanço das tecnologias digitais, das Tecnologias da Informação e Comunicação e os benefícios e impactos na composição de cenários desiguais da sociedade contemporânea. Da mesma forma, analisaremos brevemente as transformações nos meios de comunicação e no conhecimento, que trouxeram a necessidade de desenvolvimento de novas aprendizagens, ampliando a concepção de letramento e consequentemente o surgimento de iletrados digitais. As reflexões avançam para o acirramento da desigualdade durante o isolamento social na pandemia, trazendo dificuldades para a continuidade dos estudos das populações mais vulneráveis e ao mesmo tempo perspectivas para conexão entre educação e tecnologias. A análise deste panorama nos levou ao estabelecimento da relação entre educação e inclusão digital, entre as forças que dificultam o avanço da inovação na educação, mas que evidenciam a necessidade de promoção de processos educativos que favoreçam o desenvolvimento da cultura digital, contribuindo para a construção de cenários mais justos.",inclusão digital,educação e tecnologias, letramento digital,ND,ND
17/03/2023 23:07:21,Eixo Temático 1 - O Estudante e/ou sua Aprendizagem no contexto das TDIC,"OS DESAFIOS DO ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE) EM TEMPOS DE PANDEMIA DO COVID-19, NO MUNICÍPIO DE UBERLÂNDIA/MG","O presente relato objetivou apresentar a experiência de uma professora do Atendimento Educacional Especializado (AEE) com uma criança de oito anos, diagnosticada com o Transtorno do Espectro do Autismo (TEA), no ensino remoto, utilizando recursos das TDIC. O TEA faz parte do público da Educação Especial (PEE) e o AEE é um serviço garantido por lei a estes alunos. A pandemia de COVID-19 exigiu inovações por parte das escolas que tiveram que realizar aulas de forma remota, exigindo a utilização de recursos tecnológicos para tal. No AEE não foi diferente. A experiência aqui relatada se iniciou em maio de 2021, sendo que a primeira dificuldade encontrada pela professora foi conhecer a criança de forma remota. Os recursos disponibilizados para o AEE foram a videoconferência, pela Plataforma Google Meet, ou vídeo chamada pelo WhatsApp. Entretanto, ambas alternativas não atenderam a realidade familiar, o que gerou um desgaste na família e a falta de credibilidade no processo de ensino e aprendizagem da criança. Dessa forma, o relato corroborou pesquisas que apontaram que a falta de acesso tecnológico, por parte das famílias, dificultou demasiado o alcance desses estudantes ao ensino remoto e a inclusão educacional.

",Atendimento   Educacional   Especializado,Tecnologias Digitais da Informação e Comunicação,Transtorno do Espectro do Autismo,ND,ND
17/03/2023 23:08:27,Eixo Temático 1 - O Estudante e/ou sua Aprendizagem no contexto das TDIC,O USO DA INTERNET NA AUTORREGULAÇÃO DA APRENDIZAGEM DE INSTRUMENTOS MUSICAIS: UM ESTUDO DE CASO,"O artigo a seguir apresenta um recorte de uma pesquisa maior, que teve como finalidade investigar estratégias de aprendizagem musical em uma banda de música escolar. A referência teórica da pesquisa foi a Autorregulação da Aprendizagem (ZIMMERMAN, 1998, 2000, 2005). A metodologia de pesquisa foi um estudo de caso, com coleta de dados por meio de observações de aulas e ensaios, além de entrevistas semiestruturadas com alunos e professor. Dentre as estratégias autorregulatórias identificadas, a realização de buscas por vídeos e outros materiais na internet teve função de destaque.",Música,Autorregulação,Aprendizagem,Estratégia,Banda Escolar
17/03/2023 23:09:29,Eixo Temático 1 - O Estudante e/ou sua Aprendizagem no contexto das TDIC,O USO DE HISTÓRIA EM QUADRINHOS COMO RECURSO PEDAGÓGICO PARA A SISTEMATIZAÇÃO DOS CONHECIMENTOS NO ENSINO HÍBRIDO,"Este artigo tem por objetivo descrever uma pesquisa que teve como objetivo investigar a possibilidade de sistematização da aprendizagem sobre alimentação saudável a partir da criação de Histórias em
Quadrinho pelos estudantes. Participaram dessa pesquisa 32 alunos do Ensino Médio de uma Escola Estadual do interior de São Paulo. Para a coleta de dados utilizamos as Histórias em Quadrinhos desenvolvidas no componente curricular Eletiva. Trata-se de uma pesquisa qualitativa do tipo estudo de caso e foi desenvolvida durante o ensino híbrido, que foi aplicado como forma de seguir os protocolos sanitários de prevenção à Covid-19, durante o ano de 2021. Os alunos utilizaram o aplicativo BahraniApps para a construção de suas Histórias em Quadrinho, um blog e o aplicativo WhatsApp para tirar dúvidas com a professora. Os resultados evidenciaram que as Histórias em Quadrinhos foram importantes para a sistematização dos conhecimentos e auxiliou os discentes no processo de aprendizagem no período de isolamento social.",Alimentos orgânicos, Eletiva,História em Quadrinhos,ND,ND
17/03/2023 23:11:04,Eixo Temático 1 - O Estudante e/ou sua Aprendizagem no contexto das TDIC,PANDEMIA E ENSINO REMOTO: A DEFASAGEM NA APRENDIZAGEM DE MATEMÁTICA NO ENSINO MÉDIO,"A suspensão das aulas presenciais imposta pela pandemia da covid-19, implicou na adequação/revisão dos currículos, dos processos formativos/didáticos e avaliativos, nas escolas da educação básica, consequência da implementação de um modelo de ensino remoto emergencial. No período pós- pandêmico, as aulas retornaram ao modelo presencial expondo as marcas desta experiência que teve duração de dois anos. Assim, este artigo busca apresentar os impactos deste fenômeno, propondo uma investigação exploratória, descritiva e analítica dos resultados do Sistema de Avaliação de Rendimento Escolar do Estado de São Paulo (Saresp) advindos da aplicação de provas em estudantes da 3a série do Ensino Médio na disciplina de Matemática, em 2021. Por meio de revisão bibliográfica, foram compartilhados estudos envolvendo as temáticas que cercam o problema de pesquisa: motivações e dificuldades para a adesão ao ensino remoto Bacich e Moran (2018); Benedito e Filho, (2020) dentre outros. As análises preliminares indicam que o estudante da 3a série do Ensino Médio terminou o ciclo com uma proficiência em matemática equivalente à de um estudante do 7o ano do Ensino Fundamental, ou seja, com uma defasagem de quase seis anos. A média de conhecimento na matéria foi de 264 pontos, uma queda expressiva de 13 pontos em relação ao resultado de 227 pontos obtidos em 2019.

",Ensino remoto,Tecnologia   Digital de Informação e Comunicação (TDIC),Aprendizagem em matemática, Educação básica,Covid-19
17/03/2023 23:12:00,Eixo Temático 1 - O Estudante e/ou sua Aprendizagem no contexto das TDIC,PROTAGONISMO DISCENTE E AS TDICs: RESILIÊNCIA EM UMA EXPERIÊNCIA ACADÊMICA,"Resumo: No contexto da pandemia da COVID-19, emergiu a necessidade de pensarmos em formas de ressignificar a presencialidade, uma vez que, não poderíamos dar continuidade ao processo de ensino e aprendizagem estando docentes e discentes no mesmo espaço físico. Então, nesse contexto, a partir da publicação de textos legais que versavam sobre as possibilidades de ferramentas que pudessem oportunizar essa continuidade, as Instituições de ensino superior propuseram um ensino mediado pelas Tecnologias Digitais de Informação e Comunicação (TDICs). O presente texto objetiva compartilhar um relato de experiência acadêmica que tece reflexões acerca do protagonismo discente, em contextos de aprendizagem mediados pelo uso das TDICs. Elencamos o relato de experiência e adotamos a pesquisa bibliográfica para essa construção textual. Em nossas considerações finais, consideramos que o protagonismo discente relatado nesse texto, poderá contribuir para que as TDICs permaneçam em ambiente educacional e sejam compreendidas como recursos que viabilizam o protagonismo discente.",Discente,Ensino superior,Protagonismo,TDICs,ND
17/03/2023 23:13:22,Eixo Temático 1 - O Estudante e/ou sua Aprendizagem no contexto das TDIC,RETORNO ÀS ATIVIDADES PRESENCIAS NA REDE ESTADUAL DE SÃO PAULO: DESAFIOS E PERSPECTIVAS EM TEMPOS DE PÓS-PANDEMIA,"Este artigo explora aspectos da Pandemia causada pela Covid-19 na rede estadual de educação de São Paulo, propondo uma análise comparativa de resultados de dados coletados pela Secretaria Estadual de Educação (SEE) em duas formas: 1) (SARESP) e 2) Pesquisa de avaliação realizada pelo Centro de Políticas Públicas e Avaliação da Educação da Universidade Federal de Juiz de Fora (CAEd/UFJF). O processo metodológico se propôs a comparar as proficiências de estudantes – 5º e 9º ano do Ensino Fundamental e 3ª série do Ensino Médio – com os resultados obtidos nas provas elaboradas pelo Sistema de Avaliação da Educação Básica (Saeb) que avaliaram os estudantes das mesmas etapas de escolarização entre 2017 e 2019. O objetivo do estudo é apoiar as escolas no retorno às aulas presenciais subsidiando as tomadas de decisões que cercam o desempenho escolar nas disciplinas de Língua Portuguesa e Matemática. Outro destaque se dará aos apoios (materiais e ferramentas) que a SEE disponibilizou no período pandêmico. Para tanto, teve como base as reflexões de Schleicher (2020), Santos e Sabia (2015), Moran (2017). Com os resultados preliminares foi possível aferir que, apesar de significativos, tais apoios se mostraram insuficientes para atender a demanda, pois poucos alunos tiveram acesso a eles, causando mais desigualdades e defasagem na formação dos estudantes.

",Avaliação,Educação Básica,SARESP,TDIC,ND
17/03/2023 23:14:33,Eixo Temático 1 - O Estudante e/ou sua Aprendizagem no contexto das TDIC,"REVISTA DIGITAL E O PROTAGONISMO DO ESTUDANTE: UMA CONSTRUÇÃO CRÍTICA, COLETIVA E CRIATIVA","O presente artigo partilha o relato de experiência de um projeto pedagógico extracurricular, intitulado Revista Digital CONECSI, que foi desenvolvido com alunos do 6º, 7º e 8º anos do Ensino Fundamental II de um Colégio particular localizado na cidade do Rio de Janeiro, sendo coordenado pelas autoras que compõem a equipe de Tecnologia Educacional (TE) da instituição. O projeto constitui-se na criação de uma revista eletrônica, produzida inteiramente pelos estudantes envolvidos por meio da ferramenta de design Canva, narrando algumas atividades pedagógicas realizadas no cotidiano do segmento e trazendo colunas com temas que os estudantes julgam pertinentes, como indicação de livros, filmes, jogos, entrevistas com educadores e alunos. O planejamento da CONECSI pautou-se em documentos norteadores como a Base Nacional Comum Curricular (BNCC), os Parâmetros Curriculares Nacionais (PCN) e o Plano Pedagógico da própria instituição, com a intenção de contribuir com a formação integral do indivíduo, potencializar o protagonismo dos estudantes, trabalhar habilidades importantes da cultura digital, estabelecer vínculos sociais entre a comunidade educativa e registrar momentos importantes da vida escolar.",Tecnologia Educacional,Revista digital,Cultura digital,Protagonismo do estudante,ND
17/03/2023 23:15:28,Eixo Temático 1 - O Estudante e/ou sua Aprendizagem no contexto das TDIC,RUBRICA: UMA FERRAMENTA PARA A AVALIAÇÃO FORMATIVA,"Trata-se de um relato de experiência pedagógica sobre a criação de uma rubrica para o processo de avaliação formativa, no contexto do ensino remoto emergencial, em disciplina de saúde coletiva da graduação de um curso da área da saúde de uma instituição pública. A cada atividade eram elaboradas questões que demandassem dos estudantes resenhas críticas sobre fatos e conceitos referidos no material de apoio; os docentes se responsabilizavam por um feedback, que se complementava aos critérios estabelecidos pela rubrica: compreensão do tema e dos questionamentos; contextualização do material de apoio; relação com outras atividades, referências, experiências e/ou situações; elaboração de síntese coerente (relacionada ao tema); e consistente (demonstrativa e argumentativa). Para cada critério, estipularam-se níveis de desempenho, sintetizados em conceitos (muito bom/bom/satisfatório/insatisfatório). A exposição da rubrica e o feedback foram aspectos relevantes para 71,4% e 91,4% dos estudantes. Acredita-se que o uso da rubrica facilitou a compreensão que os estudantes tiveram sobre o processo de avaliação. Os critérios estabelecidos permitiram observar o grau de apreensão dos temas. O resultado encorajou os docentes a manter o uso da rubrica, dada a manutenção do ensino remoto emergencial.",rubricas,avaliação formativa,ensino superior em saúde,ND,ND
17/03/2023 23:16:14,Eixo Temático 1 - O Estudante e/ou sua Aprendizagem no contexto das TDIC,STEAM EDUCATION: CARACTERÍSTICAS E REFLEXÕES ACERCA DE UMA PROPOSTA EDUCACIONAL ATIVA E INTERDISCIPLINAR,"Considerando os desafios sociais da atualidade frente às demandas do mercado e da própria realidade global e ambiental, reflexões acerca das metodologias de ensino se tornam emergenciais para garantir a formação de sujeitos capazes de lidar com os problemas com responsabilidade, ética e respeito. Nesse sentido, as metodologias ativas têm ganhado destaque no cenário educacional por ressignificarem a posição de alunos e professores e exigirem novos olhares acerca do saber e do fazer nos espaços de ensino-aprendizagem. Entres elas, encontramos a proposta STEAM, um acrônimo formado pela junção dos termos, em inglês, ciência – tecnologia – engenharia – arte – matemática. Buscamos, neste artigo apresentar e analisá-la em duas etapas: a) a historicidade e constituição dessa perspectiva metodológica, através de uma revisão de literatura com trabalhos científicos publicados em revistas na década 2010-2020; e b) a inserção dos princípios fundamentais da metodologia STEAM numa proposta de intervenção pedagógica, com alunos do nono ano do ensino fundamental de uma escola pública de um município da Grande Vitória-ES. Com as etapas realizadas, concluímos que a perspectiva de ensino considerada tem se apresenta como uma interessante perspectiva de trabalho multidisciplinar, porém há alguns desafios que ainda precisam ser mais bem observados para sua implementação.",STEAM,metodologias ativas,ensino,ND,ND
17/03/2023 23:17:13,Eixo Temático 1 - O Estudante e/ou sua Aprendizagem no contexto das TDIC,TECNOLOGIAS DIGITAIS EM AULAS DE ARTES VISUAIS DA EDUCAÇÃO BÁSICA SOB A PERSPECTIVA DE ESTUDANTES DE PEDAGOGIA,"O estudo objetivou verificar em estudantes egressos da educação básica e recém-ingressos em curso de pedagogia da Universidade de Brasília as suas experiências com as tecnologias digitais em aulas de artes visuais. Considerando-se que as gerações nascidas após 1990 têm aproximações com as Tecnologias de Informação e Comunicação (TDIC) não observadas em gerações anteriores, que as aulas de artes visuais tratam das imagens com ênfase diferenciada das demais áreas do conhecimento; e que as imagens são um dos componentes fundamentais da rede mundial de computadores, justifica- se o estudo. A abordagem qualitativa delineou a pesquisa e as informações foram recolhidas por questionários aplicados em 18 participantes. Os resultados revelaram que os participantes indicaram possibilidades para o uso das tecnologias digitais, por outro lado, evidenciaram o pouco ou nenhum contato com tais tecnologias em suas aulas de artes visuais na escola. A expectativa, desde o resultado alcançado, é contribuir com o incremento da formação dos pedagogos que, nos anos iniciais da educação básica, podem atuar como professores de artes visuais que auxiliarão na construção dos fundamentos para a produção e a compreensão das imagens ao longo de toda a educação básica, incluindo-se as imagens que circulam por aparatos digitais que é um dos focos do estudo realizado.

",Tecnologias Digitais,Educação Básica,Artes Visuais,ND,ND
17/03/2023 23:33:08,Eixo Temático 1 - O Estudante e/ou sua Aprendizagem no contexto das TDIC,TECNOLOGIAS DIGITAIS NA APRENDIZAGEM DE LÍNGUA INGLESA,"Este trabalho investiga o uso das Tecnologias Digitais da Informação e Comunicação (TDIC) na formação inicial de professores de inglês. Para tanto, um estudo de caso foi realizado com um grupo de trinta e cinco alunos do curso de Licenciatura em Letras-Língua Inglesa, da Universidade Federal do Pará (UFPA). Os dados da pesquisa foram gerados pela aplicação de um questionário. O estudo se desenvolve por meio de referenciais teóricos sob a perspectiva das TDIC. Os resultados da pesquisa apontam para o acesso à Internet por meio do uso do telefone celular e a realização de atividades que proporcionam a aprendizagem de inglês. Ademais, os dados mostram que os alunos da pesquisa usam websites diversos e vídeos do YouTube como tecnologias mais frequentes para estudar a língua-alvo. Nessa direção, o estudo sugere que alunos são letrados digitalmente e responsáveis por suas aprendizagens.",TDIC, professores de inglês, aprendizagem eminglês,UFPA,ND
17/03/2023 23:34:10,Eixo Temático 1 - O Estudante e/ou sua Aprendizagem no contexto das TDIC,TDIC E ENSINO REMOTO: NUANCES DA EDUCAÇÃO DURANTE A PANDEMIA DA COVID-19,"O presente estudo aborda a suspensão das aulas presenciais devido à pandemia da COVID-19 e o advento do ensino remoto com aporte nas Tecnologias Digitais de Informação e Comunicação. A pesquisa foi realizada por meio de pesquisa bibliográfica e documental. Objetiva identificar e compreender os desafios educacionais impostos pela suspensão das aulas presenciais. Visa analisar o contexto de implantação e desenvolvimento do ensino remoto, o emprego da tecnologia nas atividades pedagógicas e o posterior retorno presencial dos alunos. Os resultados apontam que é necessário investir em letramento digital, uma vez que no ensino remoto evidenciou-se a dificuldade com a utilização de ferramentas digitais nas práticas pedagógicas, tanto por professores como por alunos; também foi identificada a necessidade de maiores investimentos em formação continuada dos educadores e em recursos tecnológicos para as instituições escolares, que apresentam diferentes realidades, considerando as dependências administrativas; Além da importância de repensar as práticas pedagógicas no retorno presencial dos alunos para superação das defasagens de aprendizagens ocasionadas pela suspensão das aulas presenciais.",ensino e aprendizagem,tecnologia, aulasnãopresenciais,ND,ND
17/03/2023 23:37:09,Eixo Temático 1 - O Estudante e/ou sua Aprendizagem no contexto das TDIC,UM CURSO DE PRÉ-CÁLCULO EM PLATAFORMAS DIGITAIS NA TRANSIÇÃO PARA ESTUDO UNIVERSITÁRIO NA ÁREA DE CIÊNCIAS EXATAS EM TEMPOS DE PANDEMIA,"Em 2020, quando o ensino presencial foi suspenso pela pandemia do covid-19, o DM-UFSCar ofertou um curso de Pré-Cálculo em modalidade de Ensino a Distância-EaD, facilitado pela instituição em um ambiente virtual que mobilizou recursos humanos, físicos e das TDIC, com acesso remoto às atividades de aprendizagem dos conceitos, linguagens e técnicas essenciais aos participantes na transição do ensino de nível médio para o ambiente de ensino superior. O objetivo deste artigo é reportar o estudo de caso da experiência inicial que resultou na proposta de oferta do curso como uma atividade de extensão dentro do calendário acadêmico regular, aprovada em 2021 pelos cursos da área de Ciências Exatas e de Tecnologia da UFSCar, baseada em uma percepção dos impactos que um curso de transição pode influenciar o desempenho dos estudantes no primeiro ano universitário. A metodologia para validar esse reconhecimento está fundamentada em diversos instrumentos de avaliação: materiais didáticos disponibilizados no AVA; testes simulados e tarefas; atendimentos virtuais para tutoria; vídeos e questionários estruturados de análise metacognitiva; relatos de reuniões virtuais para planejamento e análise dos instrutores. A participação colaborativa de professores e estudantes de graduação/pós-graduação é um dos resultados positivos da transformação.",Pré-Cálculo, Ensino a Distância,Transição Terciária,Covid-19,ND
