eixo tematico,palavrachave 1,palavrachave 2,palavrachave 3,palavrachave 4,palavrachave 5
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,tecnologia educacional,revista digital,cultura digital,protagonismo do estudante,
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,rubricas,avaliacao formativa,ensino superior em saude,,
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,steam,metodologias ativas,ensino,,
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,tecnologias digitais,educacao basica,artes visuais,,
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,tdic,professores de ingles,aprendizagem emingles,ufpa,
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,ensino e aprendizagem,tecnologia,aulasnaopresenciais,,
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,precalculo,ensino a distancia,transicao terciaria,covid19,
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,surdez,tecnologia,inclusao,acessibilidade,midiaeducacao
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,smartphone,lingua inglesa li,educacao de jovens e adultos eja,tecnologia digital de informacao e comunicacao tdic,aprendizagem
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,educacao 40,gamificacao,geracao alpha,jogos eletronicos,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,ensino medio,avaliacao educacional,avaliacao formativa,ncc,tdic
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,desenvolvimento profissional docente,centro de midias,amazonas,,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,ensino remoto,praticas hibridas de ensino,pospandemia,,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,tdics,formacao continuada de professores,ensino remoto,,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,ead,educacao basica,professores,,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,formacao de professores,sistema de informacao,seduc,,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,formacao de professores,olimpiadas cientificas,ensinode ciencias,,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,ensino a distancia,formacao docente,instituicao de ensino superior,,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,professores iniciantes,ensino remoto emergencial,formacao de professores,conhecimento tecnologico e pedagogico do conteudo,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,ensino remoto emergencial,ensino remoto e ensino a distancia,tecnologias digitais da informacao e comunicacao,,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic
formacao de professores,,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,robotica educacional,narrativa,curriculo de tecnologia,,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,ensino,metodologias ativas,pratica pedagogica,sala de aula invertida,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,educacao escolar,sala de aula virtual,ensino remoto e ensino hibrido,,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic
educacao fisica,a distancia,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic
insurgencias,educacao a distancia,
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,educacao,ensino remoto,ensino hibrido,,
