eixo tematico,palavrachave 1,palavrachave 2,palavrachave 3,palavrachave 4,palavrachave 5
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic
direitos autorais,material didatico,trabalho academico
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,material didatico,recursos educacionais,ensino  remoto emergencial,compartilhamento,estrategia pedagogica
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,raple,repositorios,planos de aula,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,wifi,iot,internet das coisas,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,metodologias ativas,posgraduacao,covid19,blended learning,ensino
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic
enriquecimento curricular online,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,educacao a distancia,tecnologia,saude,educacao online,territorialidade
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,ensino remoto emergencial,formacao docente,tdic,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,gamificacao,ensino de ciencias,metodologias ativas,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic
historia da matematica,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,educacao em saude,jogos serios,emergencia,cardiologia,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic
interatividade,mediacao,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,colonialismo digital,educacao online,letramentos,ensin osuperior,decolonialidade digital
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic
jogo,digital,ambiente virtual
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,laboratorios remotos,educacao a distancia,divulgacao ciendfica,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,educacao a distancia,trilhas de aprendizagem,autoria,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,tutor,educacao a distancia,pandemia da covid19,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic
educacao,roteiro,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,educacao a distancia,disciplinas regulares,metodologias ativas,presencialidade,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,ambiente virtual,moodle,educacao basica,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,blended learning,soft skills,educacao gerencial,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic
docencia,uneb,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,design  instrucional,formacao  de  professores,ensino  superior,ensino  a  distancia  e digital,microcredenciais
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,acentuacao grafica,aprendizagem,dificuldades,motivacao,metodologia ativa kahoot recursos digitais
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,avaliacao inovadora,software de avaliacao qualitativa,feedback de avaliacao,percurso de aprendizagem personalizada,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic
mooc,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic
kahoot,motivacao,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,ensino medio,ensino remoto emergencial,generos digitais,lingua portuguesa,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic
alfabetizacao,tecnologias de informacao e comunicacao,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,moodle,efl,textbook,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic
evasao,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic
materiais,ead,curso online
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,revisao de escopo,jogos digitais,midias,pandemia,praticas pedagogicas
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,pensamento computacional,educacao infantil,scratchjr,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,multimodalidade,videos com conteudo matematico,livro didatico,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,leitura,escrita,habilidades matematicas,ensino remoto,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,planejamento na ead,estrategias pedagogicas,moodle no ensino presencial,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic
realidade aumentada,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,ensino,aprendizagem,ferramentas,programacao,educacao basica
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,ila,material didatico digital,diretrizes,ead,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic
ensino de fisica,tecnologia no ensino,podcast de ciencias
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,kahoot,gamificacao,jogos digitais,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,biodiesel,ensino de quimica,eja,games,phet
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic
robotica educacional,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,maker,robotica,criatividade,educacao,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic
ensino de ciencias,educacao midiatica,ensino fundamental
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic
metodologiaativa,team based learning,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,educacao,tecnologia,producoes filmicas,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,technology,education,deaf,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,psicologia  social,recursos  didaticos  audiovisuais,video  educacional,educacao  a distancia,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,ensino hibrido,ensinoaprendizagem,escolas do campo,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic
portal educativo,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,design thinking,aprendizagem,algoritmos,nocode,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,aprendizagem baseada em projetos,scrum,multidisciplinalidade e tecnologias emergentes,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,whatsapp,estado da arte,tdic,ferramenta pedagogica,ensino
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,cenarios de aprendizagem interativos,cia,interacoes,entropia,aula virtual
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic
tdic,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,gamificacao,ensino,eletricidade,palavrascruzadas,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,ensino a distancia,lingua inglesa,curso e3d,recursos multimodais,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,ensino de botanica,tic,botanica e tecnologia,morfologia vegetal,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,ensino de quimica,ensino remoto emergencial,metodologia do ensino,,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,plataformas   interativas,tecnologias   digitais   da informacao   e   comunicacao,edpuzzle,mentimeter,
eixo tematico 3  tecnologias de mediacao materiais didaticos e conteudos para o ensinoaprendizagem no contexto das tdic,enfermagem,covid19,tecnologia de informacao,,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,educacao  a  distancia,institucionalizacao  da  educacao  a  distancia,politicas institucionais de educacao a distancia,politicas publicas,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,avaliacao in loco virtual,sinaes,legislacao,pandemiada covid 19,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,teoria critica,neoliberalismo,plataformizacao,educacao,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,gestao escolar,demandas sociais,tecnologias,formacao integral,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,educacao  a  distancia,regiao  centrooeste,matriculasna  educacao  superior  a distancia,,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,educacao adistancia,proformacao,formacao de professores,educacao basica,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,educacao a distancia,institucionalizacao,indissociabilidade entre ensino,pesquisa e extensao,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,ambientes virtuais de aprendizagem,design centrado no usuario,servico de apoio pedagogico,,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,educacao presencial,educacao a distancia,desempenho,,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,evasao na educacao superior,pandemia covid19,educacao a distancia,,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,educacao a distancia,ensino superior,egressos,polo uab,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,biblioteca  digital,bibliografia  basica  e  complementar,formacao  e desenvolvimento de acervo,,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,historico   da   educacao   a   distancia,institucionalizacao   da   ead,educacao profissional a distancia,,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,capitalismo de vigilancia,tecnologias digitais,ensino remoto,,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,pandemia,distanciamento social,gestao escolar,tecnologias,ensino aprendizagem
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,educacao corporativa,formacao continuada,marinha do brasil,,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,mercado de trabalho,pratica profissional,seguranca no trabalho,vocacao regional,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,ensino basico,ensino remotoemergencia,covid19,tic,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,formacao de profissionais da educacao,formacao continuada,tdic,,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,gestao educacional,ead,educacao e tecnologia,atuacao profissional,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,gestao democratica,eleicao para diretora,lei complementar n 1096,,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,gestao na educacao,planejamento estrategico,instituicao de ensino,,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,googledrive,organizacao pedagogica,educacao basica,sistema municipal publico de ensino,gestao educacional
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,politicas publicas,educacao superior,inclusao digital,,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,educacao a distancia,institucionalizacao,bibliometria,universidade aberta do brasil,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,educacao maker,prototipagem,ensino superior,,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,politica de assistencia estudantil,direito a educacao,modelo de formacao,,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,tecnologia,educacao,trabalho,napp academy,carencia
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,educacao profissional e tecnologica,tecnologia de informacao e comunicacao,ensino hibrido,praticaspedagogicas,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,permanencia,ensino superior,tecnologia,gestao,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,politicas publicas,educacao superior,gestao de processo,inclusao digital,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,aluno com deficiencia,ensino superior,inclusao,,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,educacao  a  distancia,estrategia  de  retencao  educacional,evasao  no  ensino superior,fatores criticos de sucesso,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,novo ensino medio,tecnologias,profissao docente,,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,educacao   a   distancia,institucionalizacao   da   ead,rede   federal   de   educacao profissional e tecnologica,conif,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,sistema publico municipal,tdic,equidade,politicas educacionais,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,tecnologia e educacao,legislacao educacional,tecnologias digitais no ensino,,
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,plano  de  intervencao,base  nacional  comum  curricular  e  parametros curriculares nacionais,tecnologias digitais da informacao e da comunicacao na educacao,ensino medio,gestao educacional integrada
eixo tematico 4  gestao e politicas educacionais no contexto das tdic,ensino remoto emergencial,retorno presencial,tecnologias digitais,,
eixo tematico 5  pesquisa epistemologia e producao de conhecimento em educacao e tecnologias no contexto das tdic,educacao,tecnologia,pensamento critico,revisao narrativa,neil selwyn
eixo tematico 5  pesquisa epistemologia e producao de conhecimento em educacao e tecnologias no contexto das tdic,algebra nos anos iniciais,formacao continuada de professores,tics,,
eixo tematico 5  pesquisa epistemologia e producao de conhecimento em educacao e tecnologias no contexto das tdic,formacao inicial de professores,ensino de fisica,tecnologiaseducacionais,,
eixo tematico 5  pesquisa epistemologia e producao de conhecimento em educacao e tecnologias no contexto das tdic,avaliacao formativa,feedback,regulacao,autorregulacao,educacao a distancia
eixo tematico 5  pesquisa epistemologia e producao de conhecimento em educacao e tecnologias no contexto das tdic
ensino de fisicaciencias,tecnologias,
eixo tematico 5  pesquisa epistemologia e producao de conhecimento em educacao e tecnologias no contexto das tdic,processo de ensino e aprendizagem,cultura digital,educacao superior,tecnologia,
eixo tematico 5  pesquisa epistemologia e producao de conhecimento em educacao e tecnologias no contexto das tdic,tecnologia educacional,inovacao educacional,politicas publicas,educacao basica,
eixo tematico 5  pesquisa epistemologia e producao de conhecimento em educacao e tecnologias no contexto das tdic
transdisciplinaridade,transversalidade,ensino basico
eixo tematico 5  pesquisa epistemologia e producao de conhecimento em educacao e tecnologias no contexto das tdic,ensino hibrido,metodologias ativas,tecnologias digitais,ensinoaprendizagem,
eixo tematico 5  pesquisa epistemologia e producao de conhecimento em educacao e tecnologias no contexto das tdic,pandemia,educacao hibrida,educacao remota,tecnologias na educacao,
eixo tematico 5  pesquisa epistemologia e producao de conhecimento em educacao e tecnologias no contexto das tdic,educacao hibrida,educacao a distancia,brasil,portugal,
eixo tematico 5  pesquisa epistemologia e producao de conhecimento em educacao e tecnologias no contexto das tdic
ensino hibrido,,
eixo tematico 5  pesquisa epistemologia e producao de conhecimento em educacao e tecnologias no contexto das tdic,sociologia da ciencia,cientometria,educacao,formacao de professores,tecnologias digitais
eixo tematico 5  pesquisa epistemologia e producao de conhecimento em educacao e tecnologias no contexto das tdic,identidade docente,formacao docente,licenciatura  em  educacao  a distancia,,
eixo tematico 5  pesquisa epistemologia e producao de conhecimento em educacao e tecnologias no contexto das tdic,anais do eneq,educacao quimica,tecnologias digitais,,
eixo tematico 5  pesquisa epistemologia e producao de conhecimento em educacao e tecnologias no contexto das tdic,ensino superior,ensino superior,blended learning,blended learning,
eixo tematico 5  pesquisa epistemologia e producao de conhecimento em educacao e tecnologias no contexto das tdic,paulo freir,tecnologias digitais,tdic,educacao a distanci,cultura digital
eixo tematico 5  pesquisa epistemologia e producao de conhecimento em educacao e tecnologias no contexto das tdic,conhecimento,metodologia,pesquisa,,
eixo tematico 5  pesquisa epistemologia e producao de conhecimento em educacao e tecnologias no contexto das tdic,politicas educacionais,pesquisador,stricto sensu,educacao a distancia,
eixo tematico 5  pesquisa epistemologia e producao de conhecimento em educacao e tecnologias no contexto das tdic
ensino hibrido,,
eixo tematico 5  pesquisa epistemologia e producao de conhecimento em educacao e tecnologias no contexto das tdic,ensino remoto,ensino hibrido,ensino    superior,transformacao    digital,subjetividade
eixo tematico 5  pesquisa epistemologia e producao de conhecimento em educacao e tecnologias no contexto das tdic,ensino de ciencias,tecnologia,ctsctsa,,
eixo tematico 5  pesquisa epistemologia e producao de conhecimento em educacao e tecnologias no contexto das tdic,educacao a distancia,tdic,tecnologias na educacao,,
eixo tematico 5  pesquisa epistemologia e producao de conhecimento em educacao e tecnologias no contexto das tdic,defensoria publica do estado tocantins,youtube,capacitacao,,
eixo tematico 6  divulgacao cultural e artistica em tempos de pandemia e cultura digital,arquivo pessoal,arquivo epistolar,acervo literario,,
eixo tematico 6  divulgacao cultural e artistica em tempos de pandemia e cultura digital,radio,musica,educacao e midiana pandemia,,
eixo tematico 6  divulgacao cultural e artistica em tempos de pandemia e cultura digital,linguagem cinematografica,ludicidade,biologia,,
eixo tematico 6  divulgacao cultural e artistica em tempos de pandemia e cultura digital,tecnologias digitais,museus virtuais,tdcis,ensino aprendizagem,
eixo tematico 6  divulgacao cultural e artistica em tempos de pandemia e cultura digital,oficina,partilha do sensivel,escrita criativa,fotografia,apropriacao
eixo tematico 6  divulgacao cultural e artistica em tempos de pandemia e cultura digital,arte musical,cultura e saberes,infancia,,
eixo tematico 7  inclusao e acessibilidade no contexto das tdic
acessibilidade,docencia,
eixo tematico 7  inclusao e acessibilidade no contexto das tdic,acessibilidade digital,inclusao,surdo,pessoa com deficiencia,educacao a distancia
eixo tematico 7  inclusao e acessibilidade no contexto das tdic,educacao inclusiva,tecnologias digitais,ere,napnee,
eixo tematico 7  inclusao e acessibilidade no contexto das tdic,inclusao,autismo,teacch,abcautismo,
eixo tematico 7  inclusao e acessibilidade no contexto das tdic,aprendizagem,deficiencia,educacao superior,inclusao,
eixo tematico 7  inclusao e acessibilidade no contexto das tdic,tdic,educacao especia,linguagem escrita,,
eixo tematico 7  inclusao e acessibilidade no contexto das tdic,acessibilidade,inclusaode alunos com deficiencia,ensino superior,,
eixo tematico 7  inclusao e acessibilidade no contexto das tdic,deficiencia intelectual,guia digital,avaliacao,,
eixo tematico 7  inclusao e acessibilidade no contexto das tdic,alunos   com   deficiencias,aprendizagem,educacao   inclusiva,metodologia,
eixo tematico 7  inclusao e acessibilidade no contexto das tdic,movimento devia,arte surda,extensaoead,moocs acessiveis em libras,lingua brasileira de sinais
eixo tematico 7  inclusao e acessibilidade no contexto das tdic,material digital acessivel,educacao digital inclusiva,inclusao no ensino superior,,
eixo tematico 7  inclusao e acessibilidade no contexto das tdic,educacao especial,formacao de professores,tecnologia assistiva,,
eixo tematico 7  inclusao e acessibilidade no contexto das tdic,educacao,inclusao,ensino hibrido,,
eixo tematico 7  inclusao e acessibilidade no contexto das tdic,autismo,modelo social de deficiencia,interatividade na educacao,,
eixo tematico 7  inclusao e acessibilidade no contexto das tdic,ensino remoto,educacao especial,inclusao,covid19,
eixo tematico 7  inclusao e acessibilidade no contexto das tdic,tecnologias   digitais   da   informacao e   da   comunicacao,tdics,acessibilidade,educacao a distancia,
eixo tematico 7  inclusao e acessibilidade no contexto das tdic,ensino de libras,objetos digitais de aprendizagem,professores em formacao,,
eixo tematico 7  inclusao e acessibilidade no contexto das tdic,sinalario,libras,robotica,inclusao,
eixo tematico 7  inclusao e acessibilidade no contexto das tdic,historia em quadrinho,reglete,braille,educacao inclusiva,modelo atomico
eixo tematico 7  inclusao e acessibilidade no contexto das tdic,ensino superior,tecnologia assistiva,desenho universal para aprendizagem,,
eixo tematico 7  inclusao e acessibilidade no contexto das tdic,tecnologias digitais,inclusao de alunos com deficiencia,tecnologia assistiva,,
eixo tematico 7  inclusao e acessibilidade no contexto das tdic,inclusao,libras,quimica,tabela  periodica,tecnologia  digitais
eixo tematico 8  outros temas transversais inovadores e alternativos,curricularizacao da extensao,curricularizacao da extensao,biologia,ead,
eixo tematico 8  outros temas transversais inovadores e alternativos,vigilancia  digital  controversia  cientifica,ducacao  nao  presencial  de  emergencia,ciencia,tecnologia e sociedade cts,
eixo tematico 8  outros temas transversais inovadores e alternativos,ensino superior militar,ensino remoto emergencial,escola naval,pandemia covid19,
eixo tematico 8  outros temas transversais inovadores e alternativos,cartapessoal,leitura,escrita,ensino fundamental i,letramento
eixo tematico 8  outros temas transversais inovadores e alternativos,aprendizagem,quarta revolucao industrial,afetividade,humanidade,
eixo tematico 8  outros temas transversais inovadores e alternativos,inclusao  digital,ambientes  virtuais  de  aprendizagem  ava,resiliencia,equidade,offline
eixo tematico 8  outros temas transversais inovadores e alternativos
lesson study,aprendizagem colaborativa,revisao sistematica da literatura
eixo tematico 8  outros temas transversais inovadores e alternativos,pibid,formacao de professores,ciencias biologicas,,
eixo tematico 8  outros temas transversais inovadores e alternativos,danca e tecnologia,ambiencia de interacao digital,arte interativa digital,produsage,
eixo tematico 8  outros temas transversais inovadores e alternativos,desenvolvimento cognitivo,cognicao numerica,senso numerico,,
eixo tematico 8  outros temas transversais inovadores e alternativos,direitos humanos,interdisciplinaridade,utilizacao de midias,ensino critico,
eixo tematico 8  outros temas transversais inovadores e alternativos,educacao a distancia,ensino e aprendizagem,graduacao em pedagogia ead,,
eixo tematico 8  outros temas transversais inovadores e alternativos
educacao a distancia,,
eixo tematico 8  outros temas transversais inovadores e alternativos,agentes comunitarios de saude,anormalidades congenitas,capacitacao em servico,saude da familia,
eixo tematico 8  outros temas transversais inovadores e alternativos,netativismo,processos formativos,empoderamento freireano,,
eixo tematico 8  outros temas transversais inovadores e alternativos,inovacao,robotica educativa,aprendizagem,tecnologias digitais,
eixo tematico 8  outros temas transversais inovadores e alternativos,ensino e aprendizagem,design para a educacao,capacitacao,ludificacao,gamificacao
eixo tematico 8  outros temas transversais inovadores e alternativos,educacao   a   distancia   centrode   educacao   aberta   e   a   distancia,programa universidade aberta do brasil,ensino superior,,
eixo tematico 8  outros temas transversais inovadores e alternativos,educacao tradicional,ensino remoto,retomada da aprendizagem,,
eixo tematico 8  outros temas transversais inovadores e alternativos,letramento digital,letramento,educacao,cultura digital,
eixo tematico 8  outros temas transversais inovadores e alternativos,violencia,notificacao,estudantes de medicina,,
eixo tematico 8  outros temas transversais inovadores e alternativos,cursos abertos,educacao digital,ods,,
eixo tematico 8  outros temas transversais inovadores e alternativos,multiletramentos,ecnologias digitais da informacao e comunicacao  tdic,ensino remoto emergencial ere,,
eixo tematico 8  outros temas transversais inovadores e alternativos,mapeamento,cursos online,equipe,,
eixo tematico 8  outros temas transversais inovadores e alternativos,pedagogia empresarial,pedagogo empresarial,treinamento e desenvolvimento,,
eixo tematico 8  outros temas transversais inovadores e alternativos,educacao superior,tecnologia da informacao e comunicacao,covid19,,
eixo tematico 8  outros temas transversais inovadores e alternativos,educacao musical online,pratica de conjunto online,musica e sustentabilidade,,
eixo tematico 8  outros temas transversais inovadores e alternativos
psicoterapia online,covid19,
eixo tematico 8  outros temas transversais inovadores e alternativos,formacao profissional em saude,educacao a distancia,sistema unico de saude,materiais didaticos,docencia
eixo tematico 8  outros temas transversais inovadores e alternativos,metodologia ativa,cultura maker,fanzines,educacao,
eixo tematico 8  outros temas transversais inovadores e alternativos,residencia tecnic,inovacao,transformacao digital,egov,design instrucional
eixo tematico 8  outros temas transversais inovadores e alternativos,cancer,game,sexualidade,,
eixo tematico 8  outros temas transversais inovadores e alternativos,educacao,tecnologias digitais,curriculo,educacao hibrida,
eixo tematico 8  outros temas transversais inovadores e alternativos,curriculo subjetivo,paradigma da aprendizagem,tutorias,,
eixo tematico 8  outros temas transversais inovadores e alternativos,ensino hibrido,inclusao digital,ead,inovacao,
eixo tematico 8  outros temas transversais inovadores e alternativos,ensino superior,universidades publicas,pospandemia,resiliencia organizacional,
