eixo tematico,titulo do trabalho,palavrachave 1,palavrachave 2,palavrachave 3,palavrachave 4,palavrachave 5
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,juri simulado na educacao a distancia relato de experiencia no curso de pedagogia














educacao a distancia,pedagogia,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,letramento digital no curso de pedagogia extrato durante o estagio supervisionado remoto,digital literacy,remote teaching,dict,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,licenciaturas a distancia e pratica docente  o que nos dizem os professores,formacao docente,pratica docente,tecnologias digitais,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,lstyle uma ferramenta para identificar estilos de aprendizagem no ensino superior,estilos de aprendizagem,modelo de kolb,aplicacao web,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,luz camera acao tecnologias digitais no cotidiano do estudante,tdics,formacao docente,praticapedagogicahibrida,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,mediacao docente diferenciada em ambiente virtual em busca do engajamento perdido,engajamento,ensino hibrido,formacao docente,mediacao docente diferenciada,aprendizagem virtual
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,metodologias ativas e criativas para aulas sincronas na ead relato de experiencia de uma formacao pedagogica,metodologias ativas e criativas,educacao a distancia,formacao pedagogica,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,metodos ativos para o ensino de estatistica durante a pandemia covid19 o diario semana de aprendizagem,metodologias ativas,ensino superior,nsino remoto,covid19,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,modelo digital de formacao docente promovendo praticas de multiletramentos e tecnologias digitais,formacao continuada,tecnologias digitais,multiletramentos,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,modelos pedagogicos baseados na recomendacao de conteudo para apoio a producao textual no ensino superior












modelo pedagogico,sistema de recomendacao,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,motivacao e autoeficacia no ensino online de violao para idosos,idosos,ensino coletivo de violao,tecnologia digital,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,narrativas digitais como possibilidade de construcao de saberes na educacao a distancia a nova arte de contar historias,narrativas digitais,tecnologias digitais,educacao a distancia,formacao docente,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,nivel de proficiencia digital docente a partir do quadro europeu de competencia digital para educadores,competencia digital,tdic,digicompedu,ensino superior tecnologico,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,o ensino de fisica durante as aulas remotas,ensino remoto,covid19,professores de ciencias,adaptacao,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,o ensino hibrido como metodologia ativa para o reforco do ensino da leitura na educacao basica  fundamental ii e ensino medio,pratica da leitura,ensino hibrido,metodologia ativa,tecnologia da informacao e comunicacao,transposicao didatica
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,o ensino remoto emergencial dramaticas de uso de si do professor









atividade docente,ensino remoto emergencial,dramaticas de uso de si,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,oferta de disciplinas de teclado na licenciatura em musica da ufscar durante a pandemia de covid19
ensino de instrumentos de teclado,licenciatura em musica,ambiente virtual de aprendizagem ava,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,o estagio supervisonado no curso de pedagogia desafios e possibilidades em contexto de pandemia,pandemia,estagio nao presencia,atuacao docente,experiencias formativas,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,oficina para professores de criacao de objetos de aprendizagem  relato de experiencia,ensino,objetos de aprendizagem,professores,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,oficinas brincadeiras musicais a formacao docente em musica nos tempos de pandemia,formacao docente,ensino musical escolar,ensino remoto,pandemia de covid19,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,o percurso formativo dos professores da rede municipal de balsas para implantacao do ensino hibrido na educacao basica
educacao hibrida,formacao de professores,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,o uso de tecnologias por professores estudo de caso em uma escola,tecnologia,pratica docente,nativos digitais,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,os desafios da educacao infantil diante da pandemia de covid19 e do ensino remotohibrido,educacao infantil,normativas,covid19,ensino hibrido,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,o trabalho docente mediado pelas tecnologias digitais na formacao inicial de professores uma visao critica,tecnologia,educacao,trabalho docente,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,pensamento computacional na formacao de professores de ciencias do ensino fundamental








formacao de professores,ensino de ciencias,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,pensando uma comunidade de dialogo pratica e teorizacao acerca da experimentacao em ciencias com o auxilio dos rea a partir dos diagramas rda,desenho didatico,indagacao online,praticas pedagogicas,pesquisaformacao,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,percepcoes de professores do ensino fundamental sobre o uso das tecnologias de comunicacao e informacao tics durante a pandemia do coronavirus,ensinoaprendizagem,professores,tecnologia,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,percurso de formacao docente para atuar na ead,formacao de professores,planejamento,pratica docente,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,plataformizacao docente uma investigacao sobre o trabalho docente mediado pelas tecnologias na pandemia covid19












inovacao pedagogica,plataformizacao,pandemia covid19,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,politicas publicas cursos emergenciais de capacitacao e desenvolvimento de fluencia tecnologicopedagogica ftp o caso de cachoeira do sulrs,formacao continuada de professores,fluencia tecnologicopedagogica,covid19,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,portfolios de aprendizagem um estudo a partir da presenca de estudantes e tutor na educacao a distancia,educacao a distancia,presencas na ead,portfolios de aprendizagens,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,praticas pedagogicas e as tecnologias digitais de informacao e comunicacao no ensino remoto emergencial relato de experiencia de uma professora no ensino superior
tdic,praticas pedagogicas,interacoes discursivas,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,programa de desenvolvimento de conhecimentos pedagogicos e tecnologicos de professores da educacao basica,formacao continuada de professores,tecnologias de informacao e comunicacao,conhecimentos pedagogicos e tecnologicos,,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,programa residencia pedagogica o uso das tecnologias digitais de ensino durante o periodo de aulas remotas pelos residentes de informatica do instituto federal do piauicampus teresina zona sul,formacao de professores,programa residencia pedagogica,tecnologias digitais de ensino,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,programa temas emergentes e ensino hibrido para educacao basica acoes educacionais no contexto do ensino remoto emergencial,ensino hibrido,formacao de professores,educacao basica,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,projeto de apoio a tecnologia e inovacao da rede educacao do estado de sao paulo experiencias de professores a partir da docencia,trabalho docente,tecnologia,formacao de professores,precarizacao do trabalho docente,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,propostas de aprendizagem sala de aula invertida um breve historico de primeiras inversoes a exemplos atuais,ensino,aprendizagem,aprendizagem invertida,sala de aula invertida,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,protocolo para gestao de praticas pedagogicas em ambiente virtual de aprendizagem ava na educacao superior,ensino superior,pratica pedagogica,ambiente virtual de aprendizagem,percepcao de professores,percepcao de estudantes
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,reflexoes interdisciplinares durante a pandemia da covid19 ciclo de palestras online educacao do campo em debate
covid19,curso online,sujeitos do campo,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,reflexoes sobre jogos digitais no processo de ensino e aprendizagem wordwall e percepcao docente,jogos digitais,wordwall,ensino e aprendizagem,percepcao docente,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,reflexoes sobre mediacao pedagogica uso das tecnologias da informacao e comunicacao e a educacao inclusiva em tempos de sindemia,mediacao pedagogica,tecnologias da informacao e comunicacao,educacao inclusiva,sindemia,desenho universal para aprendizagem
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,reflexoes sobre o uso das tdic e a pratica dos docentes no ambito da pandemia,ensino,docente,tdic,formacao,covid19
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,reflexoes sobre os conceitos de vygotsky no seculo xxi a formacao docente o uso de ferramentas digitais e o sociointeracionismo nos espacos virtuais,aprendizagem mediada,formacao de professore,letramento digital,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,relato de experiencia com tarefas de calculo mental no programa residencia pedagogica,praticas pedagogicas,educacao basica,ensino remoto,residencia pedagogica,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,relato de experiencia da formacao para o uso do moodle pelos docentes de cursos presenciais quebrando resistencias,educacao a distancia,ensino remoto emergencial,plataforma moodle,formacao continuada de docentes,ensino superior
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,retorno do ensino remoto emergencial para o presencial na educacao profissional e tecnologica,docencia,praticas pedagogicas,gestao da sala de aula,tecnologias digitais,ensino presencial
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,reverberacoes do ambiente remoto apropriacao das tecnologias e competencias desenvolvidas na jornada de aprendizagem,competencias,jornada,ambiente remoto,tecnologias,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,rodas de conversas sobre letramento midiatico identidades e praticas docentes pelo olhar de um grupo de pedagogas













pedagogia,letramento midiatico,epresentacoes sociais,curso online
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,tecnologias de informacao e comunicacao  tics nas praticas educacionais um estudo a partir da otica dos docentes de ciencias contabeis frente ao ensino remoto
tecnologias de informacao e comunicacao  tics,ensino remoto emergencial,contabilidade,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,tpack na formacao de professores de portugues como lingua adicional,tpack,formacao de professores de linguas,portugues como lingua adicional,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,transformacao pelo estagio supervisionado antes e durante o periodo pandemico em um curso de licenciatura a distancia,ensino remoto emergencial,planejamento didatico,desempenho academico,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,transformacoes da jornada de trabalho em tempos de cultura digital um olhar sobre a jornada da ansiedade,teletrabalho,jornada de trabalho,idademidia,culturadigital,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,uma analise critica sobre o ensino remoto emergencial na educacao basica,ensino remoto,tecnologia,professor,educacao basica,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,uma analise dos metodos de avaliacao de aprendizagem na metodologia remoto emergencial no curso de licenciatura em informatica ifpi  campus teresina zona sul,ensino remoto,avaliacao,pandemia,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,uma experiencia inovadora na formacao de professores para a educacao profissional e tecnologica no ifmt,docencia,educacao profissional e tecnologica,ensino superior,especializacao,comunidades de pratica
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,uma rede de apoio a professores de lingua estrangeira caracteristicas e organizacao











ensino de linguas,formacao de professores,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,um debate simulado sobre o uso de calculadoras eletronicas nas aulas de matematica da educacao basica















calculadoras eletronicas,educacao matematica,controversia controlada,tecnologias digitais de informacao e comunicacao
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,uso das tecnologias digitais da informacao e comunicacao no ensino fundamental durante a pandemia da covid19,tecnologias digitais da informacao e comunicacao,professor,pandemia,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,uso de jogos digitais no ensino de matematica um relato de experiencia da mostra de oficinas da lmateadufr,jogos digitais,educacao matematica,formacao de professores,relato de experiencia,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,videos educacionais em parasitologia proposta de um protocolo de avaliacao,parasitologia,materiais didaticos,instrumento de avaliacao,avaliacao de materiais didaticos online,ensino
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,vieses codificados apontamentos a partir da revisao sistematica sobre inteligencia artificial,docencia universitaria,inteligencia artificial,automacao,educacao,algoritimo
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,vulnerabilidades nas escolas paulistas desigualdades socioeconomicas e o uso das tdic,vulnerabilidades,escolas paulistas,desigualdades socioeconomicas,tecnologias,nd
