eixo tematico,titulo do trabalho,palavrachave 1,palavrachave 2,palavrachave 3,palavrachave 4,palavrachave 5
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,formacao de professores no ensino remoto emergencial desafios limitacoes e possibilidades,formacao  de professores,ensino  remoto  emergencial,qualidade  na  educacaosuperior,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,humanizacao das relacoes e dos espacos virtuais no ensino remoto uma experiencia com estudantes de pedagogia,ensino remoto emergencial,tdic,humanizacao,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,jogos didaticos eletronicos e funcoes executivas em escolares reescritura de uma metaavaliacao
metaavaliacao,avaliacao de tecnologia da informacao e comunicacao,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,marcas verbais e naoverbais de motivacao e engajamento em atividade com objeto de leitura gamificado,objeto de leitura gamificado,motivacao e engajamento,prendizagem de leitura,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,minecraft e organizacao espacial a partir da imigracao no brasil,metaverso,ensino fundamental,ciencia humanas,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,modelo pedagogico para construcao de competencias digitais de alunos na educacao a distancia,competencias digitais,educacao a distancia,alunos,modelo pedagogico,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,multiletramentos web 20 e pbl uma contribuicao ao processo de alfabetizacao cientifica em geografia,multiletramentos,alfabetizacao cientifica,ensino de geografia,aprendizagem baseada na resolucao de problemas,web 20
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,nada sera como antes a reinvencao do ensino superior na era da virtualidade  apontamentos a partir de constatacoes empiricas,universidade,virtualidade,ensino,tecnologia,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,objeto de leitura gamificado para alunos do 6 ano do ensino fundamental,gamificacao,objeto de leitura gamificado,aprendizagem de leitura,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,o ensino hibrido no ensino de biologia demandas e propostas no seculo xxi breve revisao bibliografica
ensino hibrido,metodologias ativas,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,o ensino remoto emergencial no colegio de aplicacao da universidade federal de roraimadesafios da educacao basica,tdics,colegio de aplicacao,ensino remoto emergencial,pandemia,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,o professor de matematica e o estudo de fracao entendendo a equivalencia para somar e subtrair,fracao  equivalente,tecnologias,ensino hibrido,aprendizagem,resolucao  de problemas
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,orientacao educacional reinvencao em tempos de pandemia,orientador educacional,tecnologias,covid19,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,orientador educacional alternativas em tempos de pandemia,orientacao educacional,tecnologias,pandemia,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,o desafio da educacao digital no contexto pandemico relatos da universidade estadual de ponta grossa,educacao digital,tecnologia,pandemia,ensino remoto,ead
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,os desafios da escola para a promocao da inclusao digital uma breve revisao de literatura,inclusao digital,educacao e tecnologias,letramento digital,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,os desafios do atendimento educacional especializado aee em tempos de pandemia do covid19 no municipio de uberlandiamg,atendimento   educacional   especializado,tecnologias digitais da informacao e comunicacao,transtorno do espectro do autismo,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,o uso da internet na autorregulacao da aprendizagem de instrumentos musicais um estudo de caso,musica,autorregulacao,aprendizagem,estrategia,banda escolar
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,o uso de historia em quadrinhos como recurso pedagogico para a sistematizacao dos conhecimentos no ensino hibrido
alimentos organicos,eletiva,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,pandemia e ensino remoto a defasagem na aprendizagem de matematica no ensino medio,ensino remoto,tecnologia   digital de informacao e comunicacao tdic,aprendizagem em matematica,educacao basica,covid19
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,protagonismo discente e as tdics resiliencia em uma experiencia academica,discente,ensino superior,protagonismo,tdics,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,retorno as atividades presencias na rede estadual de sao paulo desafios e perspectivas em tempos de pospandemia,avaliacao,educacao basica,saresp,tdic,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,revista digital e o protagonismo do estudante uma construcao critica coletiva e criativa,tecnologia educacional,revista digital,cultura digital,protagonismo do estudante,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,rubrica uma ferramenta para a avaliacao formativa,rubricas,avaliacao formativa,ensino superior em saude,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,steam education caracteristicas e reflexoes acerca de uma proposta educacional ativa e interdisciplinar,steam,metodologias ativas,ensino,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,tecnologias digitais em aulas de artes visuais da educacao basica sob a perspectiva de estudantes de pedagogia,tecnologias digitais,educacao basica,artes visuais,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,tecnologias digitais na aprendizagem de lingua inglesa,tdic,professores de ingles,aprendizagem emingles,ufpa,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,tdic e ensino remoto nuances da educacao durante a pandemia da covid19,ensino e aprendizagem,tecnologia,aulasnaopresenciais,nd,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,um curso de precalculo em plataformas digitais na transicao para estudo universitario na area de ciencias exatas em tempos de pandemia,precalculo,ensino a distancia,transicao terciaria,covid19,nd
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,acessibilidade cidadania e educacao de surdos reflexoes acerca dos recursos digitais em uma perspectiva da midiaeducacao,surdez,tecnologia,inclusao,acessibilidade,midiaeducacao
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,a inclusao das tdic por meio da utilizacao de smartphone na aprendizagem da lingua inglesa na educacao de jovens e adultos eja  ensino fundamental,smartphone,lingua inglesa li,educacao de jovens e adultos eja,tecnologia digital de informacao e comunicacao tdic,aprendizagem
eixo tematico 1  o estudante eou sua aprendizagem no contexto das tdic,a gamificacao do ensino e a implementacao dos jogos eletronicos como recuso pedagogico uma possivel resposta as demandas da geracao alpha,educacao 40,gamificacao,geracao alpha,jogos eletronicos,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,a bncc a avaliacao das aprendizagens e as tecnologias digitais no ensino medio,ensino medio,avaliacao educacional,avaliacao formativa,ncc,tdic
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,a construcao de uma base teorica para os professores do centro de midias do amazonas,desenvolvimento profissional docente,centro de midias,amazonas,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,a educacao no pospandemia de covid 19 uma pratica hibrida um relato de experiencia na rede estadual de educacao da bahia,ensino remoto,praticas hibridas de ensino,pospandemia,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,a importancia da formacao continuada de professores sobre o uso de recursos tecnologicos no ensino presencial e hibrido,tdics,formacao continuada de professores,ensino remoto,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,analise da concepcao de professores sobre as politicas publicas de inclusao da modalidade de ead na educacao basica,ead,educacao basica,professores,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,analise do software sigeduca sistema integrado de gestao educacional da seduc mt na perspectiva do educador,formacao de professores,sistema de informacao,seduc,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,a olimpiada brasileira de saude e meio ambiente e a formacao de professores reflexoes sobre as oficinas pedagogicas e suas perspectivas,formacao de professores,olimpiadas cientificas,ensinode ciencias,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,a percepcao dos docentes sobre a implementacao do ensino a distancia ead em angola o caso da universidade agostinho neto,ensino a distancia,formacao docente,instituicao de ensino superior,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,aprendizagem da docencia na pandemia tecnologias no exercicio da profissao,professores iniciantes,ensino remoto emergencial,formacao de professores,conhecimento tecnologico e pedagogico do conteudo,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,aprendizagem de informatica em curso tecnico no ensino remoto emergencial,ensino remoto emergencial,ensino remoto e ensino a distancia,tecnologias digitais da informacao e comunicacao,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,aprendizagem invertida aplicada a formacao continuada de professores relato de uma experiencia



formacao de professores,aprendizagem invertida,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,a robotica livre para bem criar passarinhos e a discussao com o curriculo prescrito onde colocar as asas da nossa alma,robotica educacional,narrativa,curriculo de tecnologia,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,a sala de aula invertida relato de uma pratica pedagogica de estagio no contexto pandemico para a educacao disruptiva,ensino,metodologias ativas,pratica pedagogica,sala de aula invertida,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,a sala de aula para alem dos muros a metodologia do ensino hibrido reinventando o quadro e o giz,educacao escolar,sala de aula virtual,ensino remoto e ensino hibrido,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,as praticas corporais no curso de educacao fisica presencial e a distancia











educacao fisica,praticas corporais,a distancia,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,as representacoes de insurgencias em um curso de capacitacao docente para o ensino remoto











insurgencias,ensino remoto emergencial,educacao a distancia,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,as vozes do ensino remoto abrindo caminhos para o ensino hibrido,educacao,ensino remoto,ensino hibrido,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,a tecnologia e a pesquisa em formacao e acao nas escolas publicas do distrito federal,tecnologia digital,formacao de professores,audiovisual,educacao basica,educacao a distancia
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,atitudes e medidas adequadas para prevencao de doencas provocadas por bacterias virus e protozoarios desenvolvendo habitos saudaveis para resiliencia equidade e sustentabilidade,microbiologia,ensino,tecnologia,jogos,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,autoavaliacao das competencias digitais dos professores da educacao basica em tempos de pandemia,formacao de professores,competencias digitais,educacao basica,covid19,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,autorreflexao das competencias digitais para os professores da educacao basica a proposta o modelo selfie for teachers,competencias digitais,professores,selfie for teachers,educacao basica,tdic
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,avaliacao de uma unidade curricular no ensino remoto emergencial ere o olhar discente do curso de pedagogia








ensino remoto emergencial,avaliacao,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,avaliacao do programa de estagio em pedagogia na escola nacional de saude publica,avaliacao de estagio,processo pedagogico,tecnologias educacionais,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,bitmoji em praticas de ensino reflexoes criticas para o uso das tdics na educacao basica,bitmoji,ferramentas digitais,praticas de ensino,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,como avaliar em tempos de epidemia o estudo de caso de sucesso do projeto integrador do curso de empreendedorismo e inovacao nas engenharias da primeira versao do curso  20202021,processo avaliativo,engenharia,projeto integrador,pandemia,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,como docentes da rede publica municipal estadual e federal utilizaram a sala de aula do google meet no ensino remoto,google meet,relato de experiencia,pandemia,ensino remoto,docencia
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,contratempo pandemico e a participacao dos alunos no ensino remoto a percepcao docente acerca da tematica,tdic,ensino remoto,frequencia escolar,educacao basica,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,compartilhamento de saberes e experiencias durante curso para o uso de recursos tecnologicos na educacao,tecnologia educacional,recurso tecnologico,formacao continuada,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,contribuicoes do programa hibrido de mentoria phm para a aprendizagem da docencia de professoras iniciantes,aprendizagem da docencia,professor iniciante,mentoria,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,contribuicoes e desafios sobre as tecnologias educacionais da informacao e comunicacao tdic e a formacao docente revisao de literatura









revisao de literatura,tecnologias digitais,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,cultura digital pandemia e educacao implicacoes para o fazer pedagogico na educacao profissional






cultura digital,educacao,fazer pedagogico,educacao profissional
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,cultura digital resignificando metodologias de ensino,comunicacao,cultura digital,educacao,tecnologia,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,da aprendizagem ao processo para uma reflexao critica sobre processos educativos hibridos no contexto da enspfiocruz,processos educativos hibridos,formacao docente,avaliacao,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,de docente a discente na cibercultura experiencias de aprovacoes no mestrado em meio a pandemia de covid19,discentesdocentes,cibercultura,pandemia,periferia,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,deformacao por competencias tensionamentos para uma transformacao emancipatoria







pedagogia das competencias,formacao docente,racionalidade tecnologica instrumental,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,desafios na pandemia o uso de tecnologia de informacao e comunicacao na pratica docente,educacao,docente,tecnologia,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,desafios para a realizacao do estagio supervisionado no curso de ciencias biologicas do centro de ensino e aprendizagem em rede da universidade estadual de goias frente a pandemia da covid19,estagio supervisionado,atividades remotas,formacao academica,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,desafios percepcoes e vivencias de uma docente na pandemia whatsapp como recurso tecnologico na graduacao,tecnologia de comunicacao,perguntas,aprendizagem,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,design de colaboracao como ampliar experiencia de atividades colaborativas em ambientes virtuais de aprendizagem,atividade colaborativa,design de colaboracao,abordagens do design,modelo addie,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,dificuldades de aprendizagem reveladas em textos e o enfrentamento docente diante dessas dificuldades,reescrita,docencia,anos finais do ensino fundamental,dissertativo argumentativo,enem
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,diversao e diversidade com o aplicativo jogo da onca,jogo da onca,lei 11645,cultura indigena,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,docencia em tempos de educacao digital o que podemos aprender com o designer educacional











educacao 40 design educacional,modelo addie,nd,nd
